ortho	qx	af	elegans
OG0001585	QX1410.g9223.1	CBG12955.1	C06A8.3.1, ZK970.7.1
OG0001586	QX1410.g9225.1	CBG12945.1, CBG12949.1	T05A6.2b.1
OG0001587	QX1410.g9248.3	CBG03294.1	F21H12.3.1, ZK675.1a.1
OG0001588	QX1410.g9304.1	CBG03217.1	F13D12.5.1, T21B10.4.1
OG0001589	QX1410.g9380.1	CBG03124.1	F43G6.11.1, F43G6.17a.1
OG0001590	QX1410.g9389.2, QX1410.g9391.1, QX1410.g9392.1	CBG03115.1	NA
OG0001591	QX1410.g9402.1	CBG03105.1	E04D5.4a.1, ZK673.1a.1
OG0001592	QX1410.g9416.1	CBG03093.1, CBG25565.1	ZK666.15.2
OG0001593	QX1410.g9455.1	CBG03050.1, CBG03052.1	C14A4.11.1
OG0001594	QX1410.g5834.2, QX1410.g9484.1	CBG03018.1	T10B11.7a.1
OG0001595	QX1410.g9527.1	CBG02968a.1	C09B7.2d.1, C09H10.5c.1
OG0001596	QX1410.g9593.1, QX1410.g9595.1, QX1410.g9596.1	CBG02900.1	NA
OG0001597	QX1410.g9594.1	CBG02899.1	C05D12.2.1, C05D12.3a.1
OG0001598	QX1410.g9598.2, QX1410.g9599.1	CBG02894.1	VW02B12L.1.1
OG0001599	QX1410.g9613.6	CBG30154.1	F22F7.11.1, W02B12.12a.1
OG0001600	QX1410.g9615.1	NA	F09C12.7.1, F58A6.9.1, ZK1248.4.1
OG0001601	QX1410.g9623.1	CBG02869.1	B0273.1a.1, B0334.10.1
OG0001602	QX1410.g9637.1	CBG02857.1	F54D5.3.1, F54D5.4.1
OG0001603	QX1410.g9640.1	CBG02854.1	C23H4.6a.1, F54D5.14.1
OG0001604	QX1410.g9645.3	CBG02850.1	F07A11.2a.1, F22B3.4.2
OG0001605	QX1410.g9660.1	CBG02832.1	C17G1.1.1, C47D12.5.1
OG0001606	QX1410.g9680.1	CBG02810.1	F32A11.1.2, W09H1.3.1
OG0001607	QX1410.g9696.1	CBG25602.1	F44F4.15a.1, Y81G3A.6.1
OG0001608	QX1410.g9707.1	CBG02783.1	F29C12.4.1, F58G1.8.1
OG0001609	QX1410.g6893.1, QX1410.g9742.1	CBG12533.1	D1081.7.1
OG0001610	QX1410.g9747.2	CBG02746.1	K12D12.1.1, ZK1127.7.1
OG0001611	QX1410.g9757.1, QX1410.g9786.1	CBG02734.1, CBG25618.1	NA
OG0001612	QX1410.g9765.1	CBG25617.1	H12D21.13.1, ZC412.6.1
OG0001613	QX1410.g17972.1, QX1410.g4913.2, QX1410.g9784.1	CBG31086.1	NA
OG0001614	QX1410.g9800.1	CBG02690.1	F18C5.4.2, Y51B9A.3.1
OG0001615	QX1410.g9841.1	CBG02642.1, CBG02643.1	F58F12.1.1
OG0001616	QX1410.g9844.2	CBG02638.1	K10B2.5.1, Y43F8C.14.1
OG0001617	QX1410.g9864.1	CBG02617.1	K02F6.1.1, M04C7.3.1
OG0001618	QX1410.g11274.1, QX1410.g9907.2	CBG02572.1	F21H12.6.1
OG0001619	QX1410.g9949.1	CBG02522.1	C14E2.6.1, H41C03.2.1
OG0001620	QX1410.g9976.2	CBG02493a.1	F10C1.7e.1, F10C1.8.1
OG0001621	QX1410.g9988.1	CBG02480.1	C25H3.14.2, C25H3.3.2
OG0001622	QX1410.g9997.3	CBG02468.1, CBG02470.1	C25H3.6a.1
OG0001623	QX1410.g9998.1	CBG02467.1, CBG02469.1	C25H3.12.1
OG0001624	QX1410.g10013.2	CBG02450b.1, CBG02452d.1	C17G10.4h.1
OG0001625	QX1410.g10014.1	CBG25640.1, CBG31353.1	C17G10.13.1
OG0001626	QX1410.g10026.1, QX1410.g10067.2	CBG02400.1	F07F6.1.1
OG0001627	QX1410.g10035.1, QX1410.g10037.1	CBG02426.1, CBG02428.1	NA
OG0001628	QX1410.g10036.1, QX1410.g10038.1	CBG02425.1, CBG02427.1	NA
OG0001629	QX1410.g10071.1	CBG02395.1	F07F6.7.1, F07F6.8.1
OG0001630	QX1410.g10075.1	CBG25644.1, CBG25645.1	EEED8.14.1
OG0001631	QX1410.g10124.3	CBG02334.1, CBG25649.1	F58A6.1.1
OG0001632	QX1410.g10132.1, QX1410.g10134.1	CBG02325.1	C04G6.7.1
OG0001633	QX1410.g10143.1	CBG02315.1, CBG02323.1	C27A2.5.1
OG0001634	QX1410.g10154.1	CBG02286.1, CBG02304.1	ZK546.15.1
OG0001635	QX1410.g10195.1	CBG02264.1, CBG24808.1	F11G11.3.1
OG0001636	QX1410.g10196.2	CBG02263.1, CBG12140.1, CBG24807.1	NA
OG0001637	QX1410.g10219.2	CBG20618.1	F38A5.6.1, W06D4.3.1
OG0001638	QX1410.g10220.1	CBG20620.1	C27D9.2.1, F26G1.3.1
OG0001639	QX1410.g10225.1	CBG20624.1	C24D10.2.1, F11G11.4.1
OG0001640	QX1410.g10227.1	CBG20626.1	C50H11.1.1, F41C3.3.1
OG0001641	QX1410.g10235.1	CBG20634.1	K09F5.1a.1, R03D7.4.2
OG0001642	QX1410.g10296.1, QX1410.g10297.1	CBG20741.1	W07G1.6.1
OG0001643	QX1410.g10304.1, QX1410.g17076.2, QX1410.g996.1	CBG25675.1	NA
OG0001644	QX1410.g10328.1	CBG01140.1, CBG20777a.1	E01G4.3c.1
OG0001645	QX1410.g10337.1	CBG20786.1, CBG31011.1	Y48C3A.14a.1
OG0001646	QX1410.g10338.2	CBG20787b.1, CBG20790.1	Y48C3A.12.1
OG0001647	QX1410.g10339.1	CBG20788.1, CBG20791.1	Y48C3A.20.1
OG0001648	QX1410.g10342.1	CBG20796.1	Y48C3A.8a.1, Y53F4B.5.1
OG0001649	QX1410.g10353.1	CBG20808.1	Y54G11A.4.1, Y54G11A.7.1
OG0001650	QX1410.g10360.1	CBG20818.1	F01D5.2.1, F01D5.3.1
OG0001651	QX1410.g10362.1, QX1410.g10363.1	CBG20820.1, CBG20821.1	NA
OG0001652	QX1410.g10371.6	CBG20828.1	F01D5.7b.1, F01D5.8a.1
OG0001653	QX1410.g10373.1	CBG20830a.1	F01D5.10.2, F25E5.2.2
OG0001654	QX1410.g10382.1, QX1410.g10385.1	CBG20839.1, CBG20842.1	NA
OG0001655	QX1410.g10383.1, QX1410.g10384.1	CBG20840.1, CBG20841.1	NA
OG0001656	QX1410.g10401.2, QX1410.g19418.1, QX1410.g6344.1	CBG11910.1	NA
OG0001657	QX1410.g10405.1, QX1410.g10407.1	CBG21012.1, CBG21014.1	NA
OG0001658	QX1410.g10428.1	CBG18588.1, CBG20859.1	W03C9.8.1
OG0001659	QX1410.g10429.1	CBG20860.1, CBG20861.1	W03C9.6.1
OG0001660	QX1410.g10439.1	CBG20870.1	C08E8.2.1, F57C2.5a.1
OG0001661	QX1410.g10447.1	CBG17765.1, CBG20876.1	Y49F6B.19.1
OG0001662	QX1410.g10450.1	CBG20879b.1	F55A3.5.1, R05H10.5b.1
OG0001663	QX1410.g10451.1	CBG20880.1	R05H10.3a.1, Y116F11B.7.1
OG0001664	QX1410.g10482.1	CBG21034.1, CBG30119.1	Y57A10A.15.1
OG0001665	QX1410.g10511.1	CBG20951.1	Y57A10B.4.1, Y57A10B.5.1
OG0001666	QX1410.g10522.2	CBG20945.1, CBG20962.1	C50E10.10.1
OG0001667	QX1410.g10526.1	CBG20967.1	W05H5.1.1, Y57A10C.10.1
OG0001668	QX1410.g10550.1	CBG20993.1	F15A4.6.1, T05C1.5.1
OG0001669	QX1410.g10562.1, QX1410.g10564.1	CBG21037.1, CBG21039.1	NA
OG0001670	QX1410.g10568.1	NA	C29F7.4a.1, C29F7.5.1, F26A1.2.1
OG0001671	QX1410.g10622.1	CBG19575.1, CBG30066.1	F29A7.6.1
OG0001672	QX1410.g10623.1, QX1410.g21475.2	CBG08298.1, CBG19573.1	NA
OG0001673	QX1410.g10636.1, QX1410.g17218.1	CBG07876.1, CBG16846.1	NA
OG0001674	QX1410.g10649.1	CBG19543.1	F22E5.3.1, ZC239.7.1
OG0001675	QX1410.g10654.1, QX1410.g10656.1	CBG19538a.1, CBG19539.1	NA
OG0001676	QX1410.g10681.1, QX1410.g2179.1, QX1410.g4029.1	CBG19523.1	NA
OG0001677	QX1410.g10716.1, QX1410.g10728.1	CBG13865.1, CBG26166.1	NA
OG0001678	QX1410.g10788.1	CBG11710.1, CBG21354.1	W10G11.16b.1
OG0001679	QX1410.g10791.1	CBG21359.1, CBG25007.1	W10G11.19.1
OG0001680	QX1410.g10807.1, QX1410.g10808.1, QX1410.g1597.1	CBG06307.1	NA
OG0001681	QX1410.g10836.1, QX1410.g16010.1	CBG11834.1, CBG21386.1	NA
OG0001682	QX1410.g10845.1, QX1410.g10846.1, QX1410.g17088.1	CBG21390.1	NA
OG0001683	QX1410.g10855.1, QX1410.g15130.1, QX1410.g19474.1	CBG22582.1	NA
OG0001684	QX1410.g10857.1, QX1410.g16060.1, QX1410.g16061.1, QX1410.g16125.1	NA	NA
OG0001685	QX1410.g10858.1, QX1410.g18187.1, QX1410.g18194.1	CBG21401.1	NA
OG0001686	QX1410.g10894.1	CBG21428.1	F40H7.4.1, F40H7.5.1
OG0001687	QX1410.g10921.1, QX1410.g17730.1	CBG07820.1, CBG24427.1	NA
OG0001688	QX1410.g10923.1, QX1410.g11095.1, QX1410.g18488.1	CBG07235.1	NA
OG0001689	QX1410.g10933.2	CBG07834.1, CBG14022.1, CBG30071.1	NA
OG0001690	QX1410.g10964.1, QX1410.g10966.1	CBG07865.1, CBG07866.1	NA
OG0001691	QX1410.g10968.1	CBG07855.1, CBG07869.1, CBG07870.1	NA
OG0001692	QX1410.g11019.1, QX1410.g11020.1	CBG10329.1	Y38E10A.18.1
OG0001693	QX1410.g11034.1	CBG10316.1, CBG24817.1	Y38E10A.8.1
OG0001694	QX1410.g11038.1, QX1410.g11039.1	CBG10311.1, CBG10312.1	NA
OG0001695	QX1410.g11055.1	CBG25731.1	Y38E10A.2.1, Y38E10A.35.1
OG0001696	QX1410.g1068.1, QX1410.g11062.1	CBG31341.1, CBG31478.1	NA
OG0001697	QX1410.g1067.1, QX1410.g11063.1, QX1410.g5029.1	CBG00280.1	NA
OG0001698	QX1410.g11065.1, QX1410.g17514.1	CBG10282.1, CBG15578.1	NA
OG0001699	QX1410.g11082.1, QX1410.g11416.1, QX1410.g15549.1	CBG16162.1	NA
OG0001700	QX1410.g11096.1, QX1410.g12138.1	CBG21132.1, CBG26764.1	NA
OG0001701	QX1410.g11163.1, QX1410.g11164.1	CBG20436.1	T22D2.1.1
OG0001702	QX1410.g11174.2	CBG21459.1	F54A3.2.1, T08D2.8.1
OG0001703	QX1410.g11191.1, QX1410.g11192.1, QX1410.g17821.1	CBG22694.1	NA
OG0001704	QX1410.g11208.1, QX1410.g11209.1	CBG17046.1, CBG31515.1	NA
OG0001705	QX1410.g11217.1, QX1410.g11218.1	CBG17034.1, CBG17036.1	NA
OG0001706	QX1410.g11224.2	CBG24422.1, CBG31054.1, CBG31055.1	NA
OG0001707	QX1410.g11225.1, QX1410.g11226.1, QX1410.g11227.1	CBG24423.1	NA
OG0001708	QX1410.g11251.1	CBG27455.1	D2062.4a.1, D2062.5.1
OG0001709	QX1410.g11271.1, QX1410.g11272.1	CBG23572.1, CBG24791.1	NA
OG0001710	QX1410.g11280.1	CBG23672.1	C49F5.3.1, F02D10.6.1
OG0001711	QX1410.g11290.1, QX1410.g11297.1, QX1410.g3599.3	CBG11547.1	NA
OG0001712	QX1410.g11305.2, QX1410.g11306.2	CBG07200a.1, CBG07201b.1	NA
OG0001713	QX1410.g11307.1, QX1410.g11308.1	CBG07199.1, CBG30104.1	NA
OG0001714	QX1410.g11336.1, QX1410.g16834.1	CBG05019.1, CBG07171.1	NA
OG0001715	QX1410.g11344.1, QX1410.g11345.1	CBG07163.1, CBG07164.1	NA
OG0001716	QX1410.g11379.1	CBG10705.1, CBG18908.1, CBG30082.1	NA
OG0001717	QX1410.g11382.2, QX1410.g12218.1	CBG07133.1, CBG19675b.1	NA
OG0001718	QX1410.g11387.1	CBG02557.1, CBG07123.1	ZK84.7.1
OG0001719	QX1410.g11424.1	CBG07091.1	K07E8.6a.1, W08F4.8b.1
OG0001720	QX1410.g11453.1	CBG07058.1, CBG24273.1	T27A1.6.1
OG0001721	QX1410.g11454.2	CBG24274.1, CBG25791.1	C09E8.3.1
OG0001722	QX1410.g11455.1, QX1410.g11456.1, QX1410.g11457.1	CBG25793.1	NA
OG0001723	QX1410.g11515.1, QX1410.g3996.2	CBG06994.1	C23H3.1a.1
OG0001724	QX1410.g11545.1	CBG06960b.1	F59E12.4b.1, F59E12.5b.1
OG0001725	QX1410.g4957.1	CBG11892.1, CBG11895.1	T25G3.3.1
OG0001726	QX1410.g4969.1	CBG11881.1, CBG29782.1	C26C6.7.1
OG0001727	QX1410.g4980.1	CBG11865.1, CBG25041.1	C26C6.8.1
OG0001728	QX1410.g4986.1	CBG11853.1, CBG11861.1	F18C12.1.1
OG0001729	QX1410.g4990.1	CBG11849.1	C09H6.1a.1, C28G1.4.1
OG0001730	QX1410.g5036.2	CBG19440b.1	D2005.1.1, H15N14.1c.1
OG0001731	QX1410.g5059.1	CBG19464.1	M04C9.1a.1, M04C9.2.1
OG0001732	QX1410.g5067.1	CBG19475.1, CBG19480.1	F26H9.4.1
OG0001733	QX1410.g5075.1	CBG19473.1, CBG25153.1	VF36H2L.1.1
OG0001734	QX1410.g5076.1	CBG16933b.1	F02C9.3.1, F36H2.1a.1
OG0001735	QX1410.g5094.1	CBG23946.1, CBG29114.1	F52E10.1b.1
OG0001736	QX1410.g5095.1	CBG23947.1	Y65B4A.9a.1, ZK354.2b.1
OG0001737	QX1410.g5102.1	CBG18548.1, CBG18556.1	Y95B8A.5a.1
OG0001738	QX1410.g5109.1, QX1410.g5111.1	CBG05158.1	Y18H1A.9.1
OG0001739	QX1410.g5118.1	CBG05150.1	Y18H1A.4.1, ZK484.6.1
OG0001740	QX1410.g17200.1, QX1410.g5125.1	CBG05142.1, CBG16799.1	NA
OG0001741	QX1410.g5145.1, QX1410.g5146.1	CBG31151.1	Y65B4BM.3.1
OG0001742	QX1410.g5152.1	CBG05103.1	F53G12.3.1, F56C11.1.2
OG0001743	QX1410.g4006.2, QX1410.g5157.1	CBG04888.1, CBG05097.1	NA
OG0001744	QX1410.g5163.1	CBG22670.1, CBG25180.1	W04C9.6.1
OG0001745	QX1410.g5175.1	CBG22016.1	B0273.115.1, Y48G1BL.7.1
OG0001746	QX1410.g5177.1	CBG22019.1, CBG22020.1	C53D5.2.1
OG0001747	QX1410.g5189.2	CBG22034b.1, CBG22067.1	Y34D9A.3a.1
OG0001748	QX1410.g5239.2	CBG22094.1	C06A5.8a.1, C06A5.9.1
OG0001749	QX1410.g5258.1	CBG22115.1, CBG22304.1	R119.4.1
OG0001750	QX1410.g5259.1	CBG22116b.1, CBG29818.1	R119.6.1
OG0001751	QX1410.g5270.1	CBG22129.1	C17F4.7.1, Y51F10.7.1
OG0001752	QX1410.g5299.1	CBG22161.1, CBG22162.1	Y73E7A.9a.1
OG0001753	QX1410.g5348.1, QX1410.g5350.1, QX1410.g5355.1	CBG22216.1	NA
OG0001754	QX1410.g5351.1	CBG22217.1, CBG25027.1	M01D7.4a.1
OG0001755	QX1410.g5376.1, QX1410.g8051.2	CBG08727.1, CBG22248.1	NA
OG0001756	QX1410.g19403.1, QX1410.g5389.1	CBG11677.1, CBG22262.1	NA
OG0001757	QX1410.g5390.1, QX1410.g7170.1	CBG10130.1, CBG29816.1	NA
OG0001758	QX1410.g5425.2	CBG15613.1, CBG22297b.1	T04D1.4.1
OG0001759	QX1410.g5427.1	CBG22299.1	F28A10.1.1, W09C3.3.1
OG0001760	QX1410.g5430.1	CBG15104.1, CBG22301.1	K12C11.2.1
OG0001761	QX1410.g5431.1	CBG15103.1, CBG22302.1	K12C11.1a.1
OG0001762	QX1410.g5467.1	CBG14895.1	F21F3.3.1, M01E11.1.2
OG0001763	QX1410.g5475.1	CBG14903.1	M04F3.3.1, W09C3.1.1
OG0001764	QX1410.g5480.1	CBG14908.1	F42C5.5a.1, M01A12.4.1
OG0001765	QX1410.g5497.1	CBG14924.1, CBG30964.1	F55F8.2a.1
OG0001766	QX1410.g5524.1	CBG14956.1	Y47G6A.12.1, ZK430.5.1
OG0001767	QX1410.g5584.1	CBG04099.1, CBG29942.1	W03D8.5.1
OG0001768	QX1410.g5586.1	CBG04237.1	W01B11.1.1, W03D8.3.1
OG0001769	QX1410.g5646.1	CBG04174.1	F11G11.13.1, ZC434.8.1
OG0001770	QX1410.g5684.1	CBG24964.1	F36D1.2.1, ZK265.5.1
OG0001771	QX1410.g5715.1	CBG04062.1	B0414.1.1, F08A10.2.1
OG0001772	QX1410.g5735.1	CBG04039.1	B0207.11.1, T08G11.2.1
OG0001773	QX1410.g5747.1	CBG04024.1	B0491.3.1, R13H9.1.1
OG0001774	QX1410.g5755.1	CBG04017.1	F33D11.11.1, ZC196.2.1
OG0001775	QX1410.g5772.1	CBG03997.1	C17F3.3.1, ZK354.3.1
OG0001776	QX1410.g5788.2	CBG03979.1, CBG03980.1	Y39G10AR.18a.1
OG0001777	QX1410.g5799.1, QX1410.g7362.1	CBG25243.1	Y94H6A.10.1
OG0001778	QX1410.g5838.1	CBG03925.1	C10G11.10.1, C10G11.1b.1
OG0001779	QX1410.g5843.1	CBG03920.1	C06A5.6.1, ZK856.12.1
OG0001780	QX1410.g5860.1	CBG03904.1	F53G12.1.1, W04G5.2a.1
OG0001781	QX1410.g17502.1, QX1410.g5888.1	CBG03876.1	Y39G10AL.3.3
OG0001782	QX1410.g5890.1	CBG03874.1	C29E6.3.1, ZK809.1.1
OG0001783	QX1410.g5897.1	CBG03866.1	T28B8.3a.1, T28B8.4.1
OG0001784	QX1410.g5907.3	CBG03852.1	F52F12.3.1, Y105C5A.24.1
OG0001785	QX1410.g5923.1	CBG03833.1, CBG03837.1	Y106G6A.4.1
OG0001786	QX1410.g5945.1	CBG03810.1	B0379.2.1, K02A11.2.1
OG0001787	QX1410.g5972.1	CBG03783.1	C01G6.2.1, C03C11.1.1
OG0001788	QX1410.g5992.1	CBG03699.1, CBG03762.1	F59A6.2.1
OG0001789	QX1410.g5994.1	CBG03700.1, CBG03761.1	C03D6.3a.1
OG0001790	QX1410.g5995.1	CBG03701b.1, CBG03760.1	C03D6.1.1
OG0001791	QX1410.g6016.1	CBG03722.1	K07A1.21.1, K07A1.4.1
OG0001792	QX1410.g6021.1	CBG03726.1	K07A1.1.1, K07A1.17.1
OG0001793	QX1410.g6025.1	CBG03729.1, CBG03732.1	C36F7.5.1
OG0001794	QX1410.g6042.1	CBG03753.1	C33F10.12.2, T05F1.8.1
OG0001795	QX1410.g6049.1	CBG24898.1	F30A10.11.1, R09E10.8.1
OG0001796	QX1410.g6074.1	CBG08207.1	C28A5.1.1, C28A5.2.1
OG0001797	QX1410.g6090.1, QX1410.g6091.1	CBG08226.1	H05L14.1.1
OG0001798	QX1410.g6094.1	CBG08229.1	B0035.6.1, Y111B2A.3.1
OG0001799	QX1410.g6106.1	CBG08242.1	C54G4.3.1, F58D5.7.1
OG0001800	QX1410.g13908.1, QX1410.g4000.1, QX1410.g6130.1	CBG08268.1	NA
OG0001801	QX1410.g6131.1	CBG08269.1	C24H11.1.1, C24H11.2.1
OG0001802	QX1410.g6173.1	CBG10824.1	B0205.10.1, B0379.7.2
OG0001803	QX1410.g6180.1	CBG10816.1	R74.8a.1, Y110A7A.15a.1
OG0001804	QX1410.g6198.2	CBG29984a.1	C46H11.7.1, C46H11.8.1
OG0001805	QX1410.g6256.4	CBG20485.1, CBG29926.1	F28B3.7a.1
OG0001806	QX1410.g6257.1	CBG29842.1, CBG29925.1	W03G9.8.1
OG0001807	QX1410.g6305.1	CBG21920.1	R06C7.4.2, Y54G2A.36.3
OG0001808	QX1410.g16052.1, QX1410.g6335.2	CBG21890.1, CBG30630a.1	NA
OG0001809	QX1410.g6337.1	CBG11902.1, CBG12103.1	F52A8.3b.2
OG0001810	QX1410.g6339.1	CBG11904.1, CBG12105.1	F52A8.2a.1
OG0001811	QX1410.g19064.1, QX1410.g6346.1	CBG17796.1, CBG30325.1	NA
OG0001812	QX1410.g6348.1	CBG11917.1, CBG29844.1	F52A8.6a.1
OG0001813	QX1410.g16654.1, QX1410.g17594.1, QX1410.g6354.1	CBG11925.1	NA
OG0001814	QX1410.g6362.2	CBG11942a.1, CBG11945.1	ZK524.2d.1
OG0001815	QX1410.g6363.1	CBG11944.1, CBG11946.1	ZK524.1.1
OG0001816	QX1410.g6369.1	CBG11952.1, CBG26592.1	D2030.10a.1
OG0001817	QX1410.g6370.4	CBG11954d.1, CBG29953.1	D2030.9a.2
OG0001818	QX1410.g6387.1	CBG11970.1, CBG11971.1	T03F1.7.1
OG0001819	QX1410.g6389.1	CBG11973.1	T03F1.9.1, Y47G6A.26.1
OG0001820	QX1410.g6391.3	CBG11975.1, CBG11976.1	T03F1.2.1
OG0001821	QX1410.g6432.1	CBG12018.1, CBG12019.1	F21A9.1b.1
OG0001822	QX1410.g6443.1	CBG12031.1	AH6.5.1, W02A2.7.1
OG0001823	QX1410.g6444.1	CBG12032.1	C53A3.3.1, W02A2.6a.1
OG0001824	QX1410.g6459.1	CBG12049.1	R12E2.10.1, T21E3.1.1
OG0001825	QX1410.g6492.1	CBG12087.1	F28H1.4a.1, F47B3.3.1
OG0001826	QX1410.g6500.1	CBG12095.1	C18E3.6a.1, Y65B4A.4.1
OG0001827	QX1410.g6522.1	CBG04854.1, CBG29852.1, CBG29853.1	NA
OG0001828	QX1410.g6529.2	CBG12191.1, CBG23932.1	ZK973.3.1
OG0001829	QX1410.g6530.1	CBG12192.1, CBG23931.1	ZK973.9.1
OG0001830	QX1410.g6570.2	CBG12227.1, CBG12230.1	C25A1.5.1
OG0001831	QX1410.g6578.1	CBG21338.1	T20F10.1.1, T24D5.4.1
OG0001832	QX1410.g4754.1, QX1410.g6594.1	CBG12907.1	F45H11.2.1
OG0001833	QX1410.g6614.2	CBG02214.1	C04E6.5.1, F38B7.5.1
OG0001834	QX1410.g6617.1	CBG02216.1	C04F12.12.1, Y106G6H.13.1
OG0001835	QX1410.g6628.1	CBG02225.1	F38A5.22.1, F59C6.6.1
OG0001836	QX1410.g6637.1	CBG02237.1, CBG14893.1	M01E11.3.1
OG0001837	QX1410.g20690.1, QX1410.g6639.3	CBG02239.1	ZK381.1a.1
OG0001838	QX1410.g6640.1	CBG02240b.1	F59C6.11.1, F59C6.14a.1
OG0001839	QX1410.g6650.1	CBG02250.1	B0207.1.1, ZK354.8.1
OG0001840	QX1410.g6651.1	CBG02251.1	F27C1.1.1, F32B6.5.1
OG0001841	QX1410.g6658.2	CBG02256.1, CBG24757.1	F25H2.13.2
OG0001842	QX1410.g6660.1	CBG02255.1, CBG24756.1	F29C6.1a.1
OG0001843	QX1410.g6661.1	CBG02254.1, CBG24755.1	T22A3.2b.1
OG0001844	QX1410.g6685.1	CBG12451.1, CBG29915.1	ZK858.4b.1
OG0001845	QX1410.g6754.1	CBG09500.1, CBG12379.1, CBG18622.1	NA
OG0001846	QX1410.g6755.1	CBG02253.1, CBG12378.1, CBG24754.1	NA
OG0001847	QX1410.g6773.1	CBG12360.1	C36B1.11.1, Y48G10A.2a.1
OG0001848	QX1410.g6779.1	CBG25271.1	C36B1.6a.1, Y119C1B.12.1
OG0001849	QX1410.g6784.1	CBG25269.1	C36B1.13.1, T23F11.11.1
OG0001850	QX1410.g6808.1	CBG10381.1	F48C1.11.1, F55A12.6.1
OG0001851	QX1410.g6816.1	CBG12322.1	F55A12.10.2, R06C7.2.1
OG0001852	QX1410.g6823.1	CBG12311.1	C47E12.10a.1, F27C1.3.1
OG0001853	QX1410.g6876.1	CBG12516.1, CBG25344.1	T01H8.1e.1
OG0001854	QX1410.g6899.1	CBG29859.1	D1081.11.1, ZK39.10.1
OG0001855	QX1410.g16133.2, QX1410.g6902.1	CBG12539.1	D1081.10.1
OG0001856	QX1410.g6903.1	CBG29946.1	D1081.19a.1, D1081.3.1
OG0001857	QX1410.g6906.1, QX1410.g6907.1	CBG25351.1, CBG25352.1	NA
OG0001858	QX1410.g6915.1	CBG12552.1	T09B4.2.1, Y37A1B.15.1
OG0001859	QX1410.g6924.1	CBG12562.1	C29F3.1.2, T08B2.7a.1
OG0001860	QX1410.g6974.1	CBG12625.1	C17H12.5.1, Y62F5A.10.1
OG0001861	QX1410.g6996.1	CBG12651.1, CBG30934.1	F48A9.3.1
OG0001862	QX1410.g7015.1	CBG12670.1, CBG29118.1	T10E9.7.1
OG0001863	QX1410.g7016.2	CBG12671.1, CBG12673.1	T10E9.4.1
OG0001864	QX1410.g7044.1	CBG12701.1, CBG12702b.1	T23B3.4.1
OG0001865	QX1410.g7053.1	CBG12711.2	F44D12.10.1, F53F8.3.1
OG0001866	QX1410.g7062.1	CBG12718.1	C47E12.11a.1, F02E9.3.1
OG0001867	QX1410.g7071.1	CBG12726.1	C08A9.1.1, F10D11.1.1
OG0001868	QX1410.g7090.1	CBG25369.1	F33E2.10.1, F33E2.5.1
OG0001869	QX1410.g21395.1, QX1410.g7092.1	CBG12752.1, CBG24699.1	NA
OG0001870	QX1410.g7094.1	CBG16415.1, CBG16417.1, CBG27283.1	NA
OG0001871	QX1410.g7101.2	CBG12760.1	C05C12.1.1, D2024.1.1
OG0001872	QX1410.g7125.1	CBG12788.1	C34B2.4.1, F33D11.1.1
OG0001873	QX1410.g7126.1	CBG12789.1	C34B2.3.1, F33D11.7.1
OG0001874	QX1410.g7162.1, QX1410.g7260.1	CBG12828.1, CBG20264.1	NA
OG0001875	QX1410.g7207.1	CBG08475.1, CBG12880.1	C35E7.7.1
OG0001876	QX1410.g7211.1	CBG12883.1	C03G6.6.1, C04F1.1.1
OG0001877	QX1410.g7217.1	CBG12889.1	C55B7.10.1, F10G8.2.1
OG0001878	QX1410.g7250.1, QX1410.g7251.1	CBG08431.1, CBG20275.1	NA
OG0001879	QX1410.g7262.2	CBG20259.1, CBG26997.1	ZK484.1a.1
OG0001880	QX1410.g7275.2	CBG20246.1, CBG29880.1	C27A12.9.1
OG0001881	QX1410.g7282.1	CBG20240.1	W02D9.4.1, ZK154.5.1
OG0001882	QX1410.g7286.1	CBG08519.1	K05F1.9.1, ZK354.7.1
OG0001883	QX1410.g16119.1, QX1410.g21908.1, QX1410.g4571.1, QX1410.g7294.1	NA	NA
OG0001884	QX1410.g7308.1, QX1410.g7309.2	CBG08487.1	Y48G8AL.15.1
OG0001885	QX1410.g7312.1	CBG08481.1	C35E7.8.1, F36H12.2b.1
OG0001886	QX1410.g7316.2	CBG08477.1	F15E11.1.1, F15E11.14.1
OG0001887	QX1410.g7317.1	CBG08476.1	F15E11.13.1, Y19D10B.7.1
OG0001888	QX1410.g7321.1	CBG08470.1	C35E7.3.1, F42G2.6.2
OG0001889	QX1410.g7330.2	CBG08462.1, CBG25402.1	Y37F4.2.1
OG0001890	QX1410.g7368.1	CBG13598.1, CBG24986.1	T06G6.6a.1
OG0001891	QX1410.g7379.2	CBG08459.1, CBG13611.1, CBG25401.1	NA
OG0001892	QX1410.g7381.1	CBG25408.1	H12D21.2a.1, ZC412.9.1
OG0001893	QX1410.g7397.1, QX1410.g7410.1	CBG13645.1	T26E3.6.1
OG0001894	QX1410.g7405.2	CBG13639.1, CBG24048.1	Y6B3B.5b.1
OG0001895	QX1410.g7419.2	CBG18701.1, CBG29936.1	C54G4.2.1
OG0001896	QX1410.g7427.1	CBG18684.1, CBG18692.1	R09B3.2.1
OG0001897	QX1410.g15821.1, QX1410.g15829.2, QX1410.g7438.1	CBG04530.1	NA
OG0001898	QX1410.g7443.1, QX1410.g7447.1	CBG18679.1, CBG23856.1	NA
